uri_artista|nombre|fechaCreacion|descripcion
http://dbpedia.org/resource/Quiet_Riot|Quiet Riot|1973|Quiet Riot es  una banda estadounidense de heavy metal que, entre 1983 y 1984, contribuyó al éxito del llamado glam metal en los años 1980. Son conocidos por su éxitos «Metal Health» y «Cum On Feel the Noize».La banda se fundó en 1973 por el guitarrista Randy Rhoads y el bajista Kelly Garni bajo el nombre original de Mach 1, antes de cambiar el nombre a Little Women y finalmente a Quiet Riot en 1975.
http://dbpedia.org/resource/Five_Iron_Frenzy|Five Iron Frenzy|1995|Five Iron Frenzy es una banda procedente de Denver, Colorado (EEUU) que técnicamente se engloba en el género musical Ska de la tercera oleada (mediados de los 90). No obstante una da las características de esta peculiar banda es su tendencia a experimentar/mezclar diversos estilos con resultados asombrosos: ska tradicional, reggae, rock and roll, hardcore/punk, trash/metal, pachanga, rap..
http://jorgepedia.org/resource/Leather Heart|null|null|null
http://jorgepedia.org/resource/Public Image Ltd.|null|null|null
http://jorgepedia.org/resource/Metal Inquisitor|null|null|null
http://jorgepedia.org/resource/Pony Bravo|null|null|null
http://dbpedia.org/resource/Caramell|Caramell/Caramella Girls|1998|"Caramell es un grupo musical sueco, formado por los cantantes Katia Löfgren y Malin Sundström y productores Jorge ""Vasco"" Vasconcelo y Juha ""Millboy"" Myllylä. Todos excepto Vasconcelo (quien es de ascendencia portuguesa) y Myllylä (quien es de ascendencia finlandesa ) provienen de Suecia. Son mejor conocidos por el fenómeno de Internet conocido como ""Caramelldansen"", una animación Flash que muestra personajes de anime Mai y Mii de la novela visual japonesa Popotan."
http://dbpedia.org/resource/Buzzcocks|Buzzcocks|1976|Buzzcocks es una banda de punk rock Inglés formada en Bolton en 1976 por el cantautor y guitarrista Pete Shelley y el cantautor Howard Devoto. Ellos son considerados como una influencia importante en la escena musical de Manchester, el movimiento sello discográfico independiente, punk rock, power pop, el punk pop y el rock indie. Alcanzaron el éxito comercial con singles que fusionan artesanía pop con la energía del punk de tiro rápido.
http://jorgepedia.org/resource/Juventud Juché|null|null|null
http://jorgepedia.org/resource/Kokoshca|null|null|null
http://jorgepedia.org/resource/Kero Kero Bonito|null|null|null
http://jorgepedia.org/resource/Lords of Black|null|null|null
http://jorgepedia.org/resource/Pablo und destruktion|null|null|null
http://jorgepedia.org/resource/Valle Eléctrico Djs|null|null|null
http://jorgepedia.org/resource/Wi-fiji|null|null|null
http://jorgepedia.org/resource/Ms Nina|null|null|null
http://jorgepedia.org/resource/The Wild Feathers|null|null|null
http://jorgepedia.org/resource/La Maravillosa Orquesta del Alcohol|null|null|null
http://dbpedia.org/resource/The_Unfinished_Sympathy|The Unfinished Sympathy|2000|The Unfinished Sympathy fue una banda de pop rock de la ciudad de Barcelona, España.Empezaron a tocar en enero del año 2000 y en diciembre del mismo año grabaron su primer álbum auto titulado, The Unfinished Sympathy.
http://dbpedia.org/resource/Hamlet_(band)|Hamlet|1987|Hamlet es una banda de metal de Madrid (España), en activo desde 1987. El nombre del grupo se lo deben a un antiguo batería de la agrupación, que llegó a un ensayo con la obra Hamlet de William Shakespeare, y decidieron darle al grupo dicho nombre. A pesar de ser fundado años atrás, el grupo musical tomó como fecha de inicio el año 1993.La agrupación ha grabado diez álbumes de estudio y su estilo ha evolucionado a lo largo del tiempo, teniendo como influencias a Pantera, Sepultura y Slayer.
http://jorgepedia.org/resource/Ekram|null|null|null
http://jorgepedia.org/resource/David Duchovny|null|null|null
http://jorgepedia.org/resource/Prince Rama|null|null|null
http://dbpedia.org/resource/Peter_Bjorn_and_John|Peter Bjorn and John|1999|"Peter Bjorn and John son un grupo sueco de indie rock formado en Estocolmo en 1999.A la fecha son conocidos por su sencillo de 2006 ""Young Folks"", en el cual les acompaña Victoria Bergsman de The Concretes en las voces. Esta canción permaneció semanas en la lista top 40 de las listas británicas y fue nombrado el segundo mejor sencillo de 2006 según NME (precedido por ""Over and Over"" de Hot Chip)."
http://jorgepedia.org/resource/Blood Sport|null|null|null
http://jorgepedia.org/resource/Lila Downs|null|null|null
http://jorgepedia.org/resource/Mark Lanegan|null|null|null
http://jorgepedia.org/resource/Anari|null|null|null
http://jorgepedia.org/resource/Vargas Blues Band|null|null|null
http://jorgepedia.org/resource/Duke Garwood|null|null|null
http://jorgepedia.org/resource/D.A.R.K.|null|null|null
http://jorgepedia.org/resource/Container|null|null|null
http://dbpedia.org/resource/CocoRosie|CocoRosie|2003|CocoRosie es un grupo franco-estadounidense de acid folk formado en el año 2003. Se trata de un dúo formado por las hermanas Bianca (Coco) y Sierra (Rosie) Casady, que produce música mezclando estilos tan variados como son el canto lírico, gospel y pop lo-fi.
http://jorgepedia.org/resource/Solstice|null|null|null
http://jorgepedia.org/resource/Diskoan|null|null|null
"http://jorgepedia.org/resource/Eli ""Paperboy"" Reed"|null|null|null
http://jorgepedia.org/resource/slups|null|null|null
http://jorgepedia.org/resource/Katza|null|null|null
http://jorgepedia.org/resource/Paul McCartney|null|null|null
http://jorgepedia.org/resource/Sofisticator|null|null|null
http://jorgepedia.org/resource/Elbis Rever|null|null|null
http://jorgepedia.org/resource/Good Riddance|null|null|null
